dt_mesano|total
2014-01-01|137329730.22
2014-02-01|126471900.52999999
2014-03-01|133161334.96000001
2014-04-01|126176633.25999999
2014-05-01|130451097.58999997
2014-06-01|121309369.83
2014-07-01|109831350.05000001
2014-08-01|115259026.48
2014-09-01|110488259.54999998
2014-10-01|107796433.74
2014-11-01|117357239.68999998
2014-12-01|229477921.05
2015-01-01|132748951.66999997
2015-02-01|125522831.98999998
2015-03-01|144590624.76999998
2015-04-01|160226318.67000002
2015-05-01|137641764.81000003
2015-06-01|122198958.60000001
2015-07-01|115190500.02999999
2015-08-01|104856906.94
2015-09-01|123789751.72999996
2015-10-01|112384688.02
2015-11-01|107551972.2
2015-12-01|171418058.65000007
2016-01-01|133181882.54
2016-02-01|136630273.04
2016-03-01|162025904.48
2016-04-01|117491047.70999998
2016-05-01|156214826.68999997
2016-06-01|128561253.73000003
2016-07-01|129513291.25
2016-08-01|127203715.44999999
2016-09-01|110533044.11999999
2016-10-01|123230280.42000002
2016-11-01|165102474.04
2016-12-01|199284777.79999995
2017-01-01|126882218.36000001
2017-02-01|131931385.46
2017-03-01|169423559.6
2017-04-01|123160750.38999999
2017-05-01|160421352.74000007
2017-06-01|132283787.06999996
2017-07-01|119941067.85999995
2017-08-01|133929315.91000004
2017-09-01|118309471.77000001
2017-10-01|124169004.27000001
2017-11-01|121257599.56999998
2017-12-01|150217320.81999993
2018-01-01|141816434.48
2018-02-01|142527605.99000004
2018-03-01|139489360.8
2018-04-01|165328331.61000007
2018-05-01|157732505.78999996
2018-06-01|137179911.41
2018-07-01|139917168.26999998
2018-08-01|135466621.89000005
2018-09-01|124869074.50999999
2018-10-01|143341358.29999995
2018-11-01|141655511.23999998
2018-12-01|217783839.04
2019-01-01|170196230.28
2019-02-01|166592462.51
2019-03-01|193929004.67999998
2019-04-01|153235519.75
2019-05-01|160011243.74000004
2019-06-01|132172725.0
2019-07-01|166969076.71
